OTU	90543_ID2592_1-A-HOBBS-A001-A03_S91_L001_R1_001	90544_ID2592_2-B-HOBBS-A001-B03_S92_L001_R1_001	90545_ID2592_3-C-HOBBS-A001-C03_S93_L001_R1_001	90546_ID2592_4-D-HOBBS-A001-D03_S94_L001_R1_001	90547_ID2592_5-A-RROSE-A001-E03_S95_L001_R1_001	90548_ID2592_6-C-RROSE-1-A001-F03_S96_L001_R1_001	90549_ID2592_7-C-RROSE-2-A001-G03_S97_L001_R1_001	90550_ID2592_8-D-RROSE-A001-H03_S98_L001_R1_001	90551_ID2592_9-A-DENVER-A001-A04_S99_L001_R1_001	90552_ID2592_10-B-DENVER-A001-B04_S100_L001_R1_001	90553_ID2592_11-C-DENVER-A001-C04_S101_L001_R1_001	90554_ID2592_12-D-DENVER-A001-D04_S102_L001_R1_001	90555_ID2592_13-A-KSW2-A001-E04_S103_L001_R1_001	90556_ID2592_14-B-KSW2-A001-F04_S104_L001_R1_001	90557_ID2592_15-C-KSW2-A001-G04_S105_L001_R1_001	90558_ID2592_16-D-KSW2-A001-H04_S106_L001_R1_001	90559_ID2600_1-SB1-A001-A03_S219_L004_R1_001	90560_ID2600_2-SB2-A001-B03_S220_L004_R1_001	90561_ID2600_3-SB3-A001-C03_S221_L004_R1_001	90562_ID2600_4-SB4-A001-D03_S222_L004_R1_001	90563_ID2600_5-SB5-A001-E03_S223_L004_R1_001	90564_ID2600_6-SB6-A001-F03_S224_L004_R1_001
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae;Haloarcula;unkn. Haloarcula(g)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9e-05	0	0	0	0	3e-05
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae;Halomicrobium;unkn. Halomicrobium(g)	0	0	0	0	8e-05	0	0	0	0	0	0	8e-05	7e-05	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae;Halorhabdus;unkn. Halorhabdus(g)	0	0	0	0	0	6e-05	0	0	0	0	0	0	0	0	0	8e-05	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae;Halorientalis;unkn. Halorientalis(g)	0	0	0	0	0	0	0	0.00011	0	0	8e-05	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae;unkn. Haloarculaceae(f);unkn. Haloarculaceae(f)	0	0	0.00016	8e-05	8e-05	0.00011	0.00016	0.00033	0	0	0	0.00024	0	0.00046	0.00015	0.00034	0.00026	0.00041	0.00028	0.00015	0.00017	0.00011
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halalkalicoccus;unkn. Halalkalicoccus(g)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7e-05	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacterium;Halobacterium sp. DL1	0	0	0	0	0	6e-05	0	0	0	0	0	8e-05	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacterium;unkn. Halobacterium(g)	0	0	0.00016	0	0	0	0	0	0	9e-05	0	8e-05	0	0	0	8e-05	0	0	0	0	4e-05	0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halodesulfurarchaeum;unkn. Halodesulfurarchaeum(g)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e-05
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;unkn. Halobacteriaceae(f);unkn. Halobacteriaceae(f)	0	7e-05	0	0.00024	8e-05	0.00028	0.00016	0.00033	1e-04	9e-05	0.00045	0	0.00014	8e-05	0	0.00051	0.00026	0.00245	0.00021	0.00031	8e-05	0.00014
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halococcaceae;unkn. Halococcaceae(f);unkn. Halococcaceae(f)	0	0	0	0	0	0	0	0	0	0	8e-05	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;unkn. Halobacteriales(o);unkn. Halobacteriales(o);unkn. Halobacteriales(o)	0.00031	6e-04	0.00064	0.00049	0.00143	0.00085	0.00073	0.00112	0.00058	0.0013	0.00091	0.00081	0.00077	0.00031	0.00058	0.00186	0.00096	0.00225	0.00106	0.00221	0.00096	0.00139
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;unkn. Halobacteriales(o);unkn. unkn. Halobacteriales(o)(f);unkn. unkn. Halobacteriales(o)(f)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8e-05	0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;Haloferax;unkn. Haloferax(g)	0	0	8e-05	0	0	0.00011	0	0	0	0	0	0	0	8e-05	0	8e-05	0	0	0	8e-05	0	3e-05
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;Halogeometricum;Halogeometricum borinquense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8e-05	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;Haloplanus;unkn. Haloplanus(g)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6e-05
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;unkn. Haloferacaceae(f);unkn. Haloferacaceae(f)	0.00016	0.00027	0.00048	0.00016	0.00045	0.00028	4e-04	0.00056	1e-04	9e-05	0.00045	0.00016	0.00014	0.00038	0.00036	0.00068	0.00052	0.00061	0.00028	0.00031	0.00017	0.00034
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Halorubraceae;Halopenitus;unkn. Halopenitus(g)	0	0	0	0	0	0	0	0	0	0	8e-05	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Halorubraceae;Halorubrum;unkn. Halorubrum(g)	0	0	0	0	0	0	0	0	0	0	0	0	7e-05	0	0	8e-05	0	0	0	0	0	6e-05
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Halorubraceae;Salinigranum;unkn. Salinigranum(g)	0	0	0	0	8e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Halorubraceae;unkn. Halorubraceae(f);unkn. Halorubraceae(f)	0.00016	4e-04	8e-05	0.00049	3e-04	4e-04	8e-05	0.00089	0.00019	0.00028	0.00053	4e-04	0.00021	0.00015	7e-05	0.00051	0.00026	2e-04	0.00063	0.00015	0.00029	0.00062
