OTU	90543_ID2592_1-A-HOBBS-A001-A03_S91_L001_R1_001	90544_ID2592_2-B-HOBBS-A001-B03_S92_L001_R1_001	90545_ID2592_3-C-HOBBS-A001-C03_S93_L001_R1_001	90546_ID2592_4-D-HOBBS-A001-D03_S94_L001_R1_001	90547_ID2592_5-A-RROSE-A001-E03_S95_L001_R1_001	90548_ID2592_6-C-RROSE-1-A001-F03_S96_L001_R1_001	90549_ID2592_7-C-RROSE-2-A001-G03_S97_L001_R1_001	90550_ID2592_8-D-RROSE-A001-H03_S98_L001_R1_001	90551_ID2592_9-A-DENVER-A001-A04_S99_L001_R1_001	90552_ID2592_10-B-DENVER-A001-B04_S100_L001_R1_001	90553_ID2592_11-C-DENVER-A001-C04_S101_L001_R1_001	90554_ID2592_12-D-DENVER-A001-D04_S102_L001_R1_001	90555_ID2592_13-A-KSW2-A001-E04_S103_L001_R1_001	90556_ID2592_14-B-KSW2-A001-F04_S104_L001_R1_001	90557_ID2592_15-C-KSW2-A001-G04_S105_L001_R1_001	90558_ID2592_16-D-KSW2-A001-H04_S106_L001_R1_001	90559_ID2600_1-SB1-A001-A03_S219_L004_R1_001	90560_ID2600_2-SB2-A001-B03_S220_L004_R1_001	90561_ID2600_3-SB3-A001-C03_S221_L004_R1_001	90562_ID2600_4-SB4-A001-D03_S222_L004_R1_001	90563_ID2600_5-SB5-A001-E03_S223_L004_R1_001	90564_ID2600_6-SB6-A001-F03_S224_L004_R1_001
Archaea;Crenarchaeota;unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);uncultured crenarchaeote	0.00279	0.00121	0.00064	0.00171	0.00285	0.0022	0.00194	0.00212	0.00213	0.00315	0.01102	0.00944	0.00021	0.00177	0.00051	0.00305	0.00208	0.00225	0.0012	0.00443	0.00302	0.00517
Archaea;Crenarchaeota;unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);uncultured crenarchaeote 29d5	0.00062	0.00013	0.00032	0.00033	0.00015	4e-04	8e-05	0.00022	0.00078	0.00093	0.00362	0.00428	0	0.00046	0	0.00034	0.00017	0.00123	0.00028	0.00069	0.00071	0.00122
Archaea;Crenarchaeota;unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);uncultured crenarchaeote 57a5	0	0	0	0	0	0	0	0	0	0	0.00015	0	0	0	0	0	0	0	0	0	0	0
Archaea;Crenarchaeota;unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);uncultured crenarchaeote 76h13	0.00016	0	8e-05	0	8e-05	0	0	0.00011	0	9e-05	0.00038	0.00024	0	0	0	0	0	0	0	0.00015	8e-05	0.00031
Archaea;Crenarchaeota;unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);unkn. Crenarchaeota(p)	0	0.00034	0.00048	0.00057	0.00023	0.00068	4e-04	0.00011	0.00019	0.00019	0.00091	0.00065	0.00014	0.00023	0	0.00085	0	2e-04	0.00028	0.00046	0.00046	0.0011
Archaea;Crenarchaeota;unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);unkn. unkn. Crenarchaeota(p)(g)	0.00093	0.00087	0.0012	0.00114	0.00173	0.00096	4e-04	0.00089	0.00184	0.00148	0.0074	0.00557	0.00014	0.00069	0.00044	0.00085	0	2e-04	0.00212	0.01336	0.006	0.01119
Archaea;Crenarchaeota;unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);unkn. unkn. Crenarchaeota(p)(f);unkn. unkn. Crenarchaeota(p)(f)	0.0014	0.00034	4e-04	0.00049	0.00053	0.00028	0.00032	0.00011	0.00087	0.00074	0.00219	0.00202	0	0.00038	0.00022	0.00051	0	0	0.0012	0.00542	0.00348	0.0039
Archaea;Crenarchaeota;unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);unkn. unkn. Crenarchaeota(p)(o);unkn. unkn. Crenarchaeota(p)(o);unkn. unkn. Crenarchaeota(p)(o)	0.00047	0.00027	8e-05	8e-05	8e-05	0.00011	0	0.00033	0.00019	0.00046	3e-04	8e-05	0	0	7e-05	0.00017	0	0	0.00042	0.00107	0.00113	0.00096
Archaea;Crenarchaeota;unkn. Crenarchaeota(p);unkn. unkn. Crenarchaeota(p)(c);unkn. unkn. Crenarchaeota(p)(c);unkn. unkn. Crenarchaeota(p)(c);unkn. unkn. Crenarchaeota(p)(c)	0	7e-05	8e-05	0	8e-05	0.00023	0.00032	0	0	0	8e-05	0.00024	0	8e-05	0	0.00034	0	0.00061	0	0.00015	0.00067	0.00054
Archaea;Euryarchaeota;Archaeoglobi;unkn. Archaeoglobi(c);unkn. Archaeoglobi(c);unkn. Archaeoglobi(c);unkn. Archaeoglobi(c)	0	0	0	0	0	0	0	0	1e-04	0	0	0	0	0	0	0	0	0	0	0	0	3e-05
