OTU	90543_ID2592_1-A-HOBBS-A001-A03_S91_L001_R1_001	90544_ID2592_2-B-HOBBS-A001-B03_S92_L001_R1_001	90545_ID2592_3-C-HOBBS-A001-C03_S93_L001_R1_001	90546_ID2592_4-D-HOBBS-A001-D03_S94_L001_R1_001	90547_ID2592_5-A-RROSE-A001-E03_S95_L001_R1_001	90548_ID2592_6-C-RROSE-1-A001-F03_S96_L001_R1_001	90549_ID2592_7-C-RROSE-2-A001-G03_S97_L001_R1_001	90550_ID2592_8-D-RROSE-A001-H03_S98_L001_R1_001	90551_ID2592_9-A-DENVER-A001-A04_S99_L001_R1_001	90552_ID2592_10-B-DENVER-A001-B04_S100_L001_R1_001	90553_ID2592_11-C-DENVER-A001-C04_S101_L001_R1_001	90554_ID2592_12-D-DENVER-A001-D04_S102_L001_R1_001	90555_ID2592_13-A-KSW2-A001-E04_S103_L001_R1_001	90556_ID2592_14-B-KSW2-A001-F04_S104_L001_R1_001	90557_ID2592_15-C-KSW2-A001-G04_S105_L001_R1_001	90558_ID2592_16-D-KSW2-A001-H04_S106_L001_R1_001	90559_ID2600_1-SB1-A001-A03_S219_L004_R1_001	90560_ID2600_2-SB2-A001-B03_S220_L004_R1_001	90561_ID2600_3-SB3-A001-C03_S221_L004_R1_001	90562_ID2600_4-SB4-A001-D03_S222_L004_R1_001	90563_ID2600_5-SB5-A001-E03_S223_L004_R1_001	90564_ID2600_6-SB6-A001-F03_S224_L004_R1_001
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae;Halorientalis;unkn. Halorientalis(g)	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae;unkn. Haloarculaceae(f);unkn. Haloarculaceae(f)	0	0	2	1	1	2	2	3	0	0	0	3	0	6	2	4	3	2	4	2	4	4
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halalkalicoccus;unkn. Halalkalicoccus(g)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacterium;Halobacterium sp. DL1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacterium;unkn. Halobacterium(g)	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halodesulfurarchaeum;unkn. Halodesulfurarchaeum(g)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;unkn. Halobacteriaceae(f);unkn. Halobacteriaceae(f)	0	1	0	3	1	5	2	3	1	1	6	0	2	1	0	6	3	12	3	4	2	5
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halococcaceae;unkn. Halococcaceae(f);unkn. Halococcaceae(f)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;unkn. Halobacteriales(o);unkn. Halobacteriales(o);unkn. Halobacteriales(o)	2	9	8	6	19	15	9	10	6	14	12	10	11	4	8	22	11	11	15	29	23	49
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;unkn. Halobacteriales(o);unkn. unkn. Halobacteriales(o)(f);unkn. unkn. Halobacteriales(o)(f)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;Haloferax;unkn. Haloferax(g)	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;Halogeometricum;Halogeometricum borinquense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;Haloplanus;unkn. Haloplanus(g)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;unkn. Haloferacaceae(f);unkn. Haloferacaceae(f)	1	4	6	2	6	5	5	5	1	1	6	2	2	5	5	8	6	3	4	4	4	12
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Halorubraceae;Halopenitus;unkn. Halopenitus(g)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Halorubraceae;Halorubrum;unkn. Halorubrum(g)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Halorubraceae;Salinigranum;unkn. Salinigranum(g)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Halorubraceae;unkn. Halorubraceae(f);unkn. Halorubraceae(f)	1	6	1	6	4	7	1	8	2	3	7	5	3	2	1	6	3	1	9	2	7	22
Archaea;Euryarchaeota;Halobacteria;Haloferacales;unkn. Haloferacales(o);unkn. Haloferacales(o);unkn. Haloferacales(o)	3	11	13	6	20	24	20	14	1	4	16	18	15	13	6	24	5	9	17	17	21	53
Archaea;Euryarchaeota;Halobacteria;Haloferacales;unkn. Haloferacales(o);unkn. unkn. Haloferacales(o)(f);unkn. unkn. Haloferacales(o)(f)	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;Halobiforma;Halobiforma lacisalsi	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;Halobiforma;unkn. Halobiforma(g)	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;Halopiger;unkn. Halopiger(g)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	1
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;Haloterrigena;unkn. Haloterrigena(g)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;Natrialba;unkn. Natrialba(g)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;Natrinema;Natrinema pellirubrum	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;Natrinema;unkn. Natrinema(g)	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;Salinarchaeum;Salinarchaeum sp. Harcht-Bsk1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;unkn. Natrialbaceae(f);unkn. Natrialbaceae(f)	4	0	7	7	11	4	5	4	2	4	4	6	8	5	7	6	4	6	6	2	12	14
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;unkn. Natrialbaceae(f);unkn. unkn. Natrialbaceae(f)(g)	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Natrialbales;unkn. Natrialbales(o);unkn. Natrialbales(o);unkn. Natrialbales(o)	10	6	14	6	15	18	20	9	9	15	21	17	6	8	7	17	16	13	13	13	28	46
Archaea;Euryarchaeota;Halobacteria;unkn. Halobacteria(c);unkn. Halobacteria(c);unkn. Halobacteria(c);unkn. Halobacteria(c)	24	34	38	28	68	74	63	40	28	46	61	62	37	44	41	87	69	35	84	38	133	165
Archaea;Euryarchaeota;Halobacteria;unkn. Halobacteria(c);unkn. Halobacteria(c);unkn. unkn. Halobacteria(c)(f);unkn. unkn. Halobacteria(c)(f)	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;unkn. Halobacteria(c);unkn. unkn. Halobacteria(c)(o);unkn. unkn. Halobacteria(c)(o);unkn. unkn. Halobacteria(c)(o)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter millerae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter ruminantium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter sp. YE315	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;unkn. Methanobrevibacter(g)	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera;Methanosphaera sp. BMS	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera;unkn. Methanosphaera(g)	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;unkn. Methanobacteriaceae(f);unkn. Methanobacteriaceae(f)	2	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermaceae;Methanothermus;unkn. Methanothermus(g)	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermaceae;unkn. Methanothermaceae(f);unkn. Methanothermaceae(f)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;unkn. Methanobacteriales(o);unkn. Methanobacteriales(o);unkn. Methanobacteriales(o)	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanobacteria;unkn. Methanobacteria(c);unkn. Methanobacteria(c);unkn. Methanobacteria(c);unkn. Methanobacteria(c)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;unkn. Methanococcus(g)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;unkn. Methanococcaceae(f);unkn. Methanococcaceae(f)	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0
Archaea;Euryarchaeota;Methanococci;unkn. Methanococci(c);unkn. Methanococci(c);unkn. Methanococci(c);unkn. Methanococci(c)	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanocellales;Methanocellaceae;Methanocella;uncultured Methanocella sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanocellales;Methanocellaceae;Methanocella;unkn. Methanocella(g)	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanocellales;Methanocellaceae;unkn. Methanocellaceae(f);unkn. Methanocellaceae(f)	1	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0
Archaea;Euryarchaeota;Methanomicrobia;Methanocellales;unkn. Methanocellales(o);unkn. Methanocellales(o);unkn. Methanocellales(o)	0	2	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	1	3	1	1	1
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus;Methanoculleus bourgensis	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus;Methanoculleus marisnigri	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus;Methanoculleus sp. MAB1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus;unkn. Methanoculleus(g)	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;unkn. Methanomicrobiaceae(f);unkn. Methanomicrobiaceae(f)	1	0	1	0	2	0	2	1	0	0	1	0	0	0	1	1	0	0	0	0	0	3
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanosphaerula;Methanosphaerula palustris	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanosphaerula;unkn. Methanosphaerula(g)	0	0	0	0	1	2	0	0	0	0	2	1	1	0	0	1	1	1	2	0	1	5
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;unkn. Methanoregulaceae(f);unkn. Methanoregulaceae(f)	0	2	1	0	0	1	0	1	0	0	2	3	0	0	0	1	1	0	1	1	1	1
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;unkn. Methanomicrobiales(o);unkn. Methanomicrobiales(o);unkn. Methanomicrobiales(o)	1	1	2	0	2	5	3	5	2	2	6	1	3	0	0	2	3	1	2	5	2	9
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosaetaceae;Methanothrix;Methanosaeta harundinacea	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosaetaceae;Methanothrix;unkn. Methanothrix(g)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosaetaceae;unkn. Methanosaetaceae(f);unkn. Methanosaetaceae(f)	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	3	0	0	0	0	0	6
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanococcoides;unkn. Methanococcoides(g)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanolobus;unkn. Methanolobus(g)	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina mazei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina thermophila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;unkn. Methanosarcina(g)	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	2	1	3
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;unkn. Methanosarcinaceae(f);unkn. Methanosarcinaceae(f)	0	1	0	1	4	4	2	3	1	0	1	2	0	8	1	7	2	1	0	6	1	9
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;unkn. Methanosarcinales(o);unkn. Methanosarcinales(o);unkn. Methanosarcinales(o)	1	1	3	2	4	2	4	1	2	0	3	3	1	3	3	6	0	1	2	3	2	7
Archaea;Euryarchaeota;Methanomicrobia;unkn. Methanomicrobia(c);unkn. Methanomicrobia(c);unkn. Methanomicrobia(c);unkn. Methanomicrobia(c)	4	4	3	2	6	15	4	5	5	5	8	4	6	6	4	13	14	0	4	13	12	17
