logFC	minuslog10FDR	threshold
Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Nitrososphaera;Candidatus Nitrososphaera gargensis	0.0245306388721677	0.0112877081040651	gray23
Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Nitrososphaera;Nitrososphaera viennensis	0.210799348996951	0.0566326260301662	gray23
Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Nitrososphaera;unkn. Nitrososphaera(g)	0.0181390075146821	0.0119303755112248	gray23
Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;unkn. Nitrososphaeraceae(f);unkn. Nitrososphaeraceae(f)	0.667355983377677	0.993996766570283	gray23
Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;unkn. Nitrososphaerales(o);unkn. Nitrososphaerales(o);unkn. Nitrososphaerales(o)	0.426087453851441	0.384706224176089	gray23
Archaea;Thaumarchaeota;Nitrososphaeria;unkn. Nitrososphaeria(c);unkn. Nitrososphaeria(c);unkn. Nitrososphaeria(c);unkn. Nitrososphaeria(c)	0.411209406387261	0.37873385154302	gray23
Archaea;Thaumarchaeota;unkn. Thaumarchaeota(p);Nitrosopumilales;Nitrosopumilaceae;unkn. Nitrosopumilaceae(f);unkn. Nitrosopumilaceae(f)	1.58861963313793	0.666734166722495	gray23
Archaea;Thaumarchaeota;unkn. Thaumarchaeota(p);Nitrosopumilales;unkn. Nitrosopumilales(o);unkn. Nitrosopumilales(o);unkn. Nitrosopumilales(o)	0.902319525172154	0.368004034131128	gray23
Archaea;Thaumarchaeota;unkn. Thaumarchaeota(p);unkn. Thaumarchaeota(p);unkn. Thaumarchaeota(p);unkn. Thaumarchaeota(p);uncultured thaumarchaeote	0.0930289991592722	0.0296021888747967	gray23
Archaea;Thaumarchaeota;unkn. Thaumarchaeota(p);unkn. Thaumarchaeota(p);unkn. Thaumarchaeota(p);unkn. Thaumarchaeota(p);unkn. Thaumarchaeota(p)	0.574833989732533	1.00643803257492	gray23
Archaea;Thaumarchaeota;unkn. Thaumarchaeota(p);unkn. Thaumarchaeota(p);unkn. Thaumarchaeota(p);unkn. Thaumarchaeota(p);unkn. unkn. Thaumarchaeota(p)(g)	0.0612207928447259	0.0143168228098013	gray23
Archaea;Thaumarchaeota;unkn. Thaumarchaeota(p);unkn. Thaumarchaeota(p);unkn. Thaumarchaeota(p);unkn. unkn. Thaumarchaeota(p)(f);unkn. unkn. Thaumarchaeota(p)(f)	0.701903839962685	0.222889925879017	gray23
Archaea;Thaumarchaeota;unkn. Thaumarchaeota(p);unkn. Thaumarchaeota(p);unkn. unkn. Thaumarchaeota(p)(o);unkn. unkn. Thaumarchaeota(p)(o);unkn. unkn. Thaumarchaeota(p)(o)	0.708149688908618	0.3134998355897	gray23
Archaea;Thaumarchaeota;unkn. Thaumarchaeota(p);unkn. unkn. Thaumarchaeota(p)(c);unkn. unkn. Thaumarchaeota(p)(c);unkn. unkn. Thaumarchaeota(p)(c);unkn. unkn. Thaumarchaeota(p)(c)	0.658601748187536	0.487553285931706	gray23
Archaea;unkn. Archaea(d);unkn. Archaea(d);unkn. Archaea(d);unkn. Archaea(d);unkn. Archaea(d);uncultured ammonia-oxidizing archaeon	0.860247587379434	0.163725126504271	gray23
Archaea;unkn. Archaea(d);unkn. Archaea(d);unkn. Archaea(d);unkn. Archaea(d);unkn. Archaea(d);uncultured archaeon	-0.242394636693482	0.138129642106876	gray23
Archaea;unkn. Archaea(d);unkn. Archaea(d);unkn. Archaea(d);unkn. Archaea(d);unkn. Archaea(d);unkn. Archaea(d)	0.614969721788068	2.13693744183029	red2
Archaea;unkn. Archaea(d);unkn. Archaea(d);unkn. Archaea(d);unkn. Archaea(d);unkn. Archaea(d);unkn. unkn. Archaea(d)(g)	0.0884290679235021	0.0267804534135156	gray23
Archaea;unkn. Archaea(d);unkn. Archaea(d);unkn. Archaea(d);unkn. Archaea(d);unkn. unkn. Archaea(d)(f);unkn. unkn. Archaea(d)(f)	0.42892862478848	0.234198660163771	gray23
Archaea;unkn. Archaea(d);unkn. Archaea(d);unkn. Archaea(d);unkn. unkn. Archaea(d)(o);unkn. unkn. Archaea(d)(o);unkn. unkn. Archaea(d)(o)	0.325349883687511	0.0802680357621049	gray23
Archaea;unkn. Archaea(d);unkn. Archaea(d);unkn. unkn. Archaea(d)(c);unkn. unkn. Archaea(d)(c);unkn. unkn. Archaea(d)(c);unkn. unkn. Archaea(d)(c)	0.0526965136155247	0.00984048126959137	gray23
Archaea;unkn. Archaea(d);unkn. unkn. Archaea(d)(p);unkn. unkn. Archaea(d)(p);unkn. unkn. Archaea(d)(p);unkn. unkn. Archaea(d)(p);unkn. unkn. Archaea(d)(p)	0.356534534829407	0.0913821608705466	gray23
Bacteria;Acidobacteria;Acidobacteria subdivision 6;unkn. Acidobacteria subdivision 6(c);Vicinamibacteraceae;Luteitalea;Luteitalea pratensis	-0.189878253161786	0.17682801870362	gray23
Bacteria;Acidobacteria;Acidobacteria subdivision 6;unkn. Acidobacteria subdivision 6(c);Vicinamibacteraceae;Luteitalea;unkn. Luteitalea(g)	-0.0911831129753844	0.0827006180867578	gray23
Bacteria;Acidobacteria;Acidobacteria subdivision 6;unkn. Acidobacteria subdivision 6(c);Vicinamibacteraceae;unkn. Vicinamibacteraceae(f);unkn. Vicinamibacteraceae(f)	0.0714594045888311	0.0802680357621049	gray23
Bacteria;Acidobacteria;Acidobacteria subdivision 6;unkn. Acidobacteria subdivision 6(c);unkn. Acidobacteria subdivision 6(c);unkn. Acidobacteria subdivision 6(c);unkn. Acidobacteria subdivision 6(c)	0.136624251871483	0.159880578055341	gray23
Bacteria;Acidobacteria;Acidobacteria subdivision 6;unkn. Acidobacteria subdivision 6(c);unkn. unkn. Acidobacteria subdivision 6(c)(o);unkn. unkn. Acidobacteria subdivision 6(c)(o);unkn. unkn. Acidobacteria subdivision 6(c)(o)	0.0162680793729455	0.0155047328864393	gray23
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacterium;unkn. Acidobacterium(g)	0.190155809015111	0.0426179268679209	gray23
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Candidatus Koribacter;unkn. Candidatus Koribacter(g)	0.391478671313463	0.0854618100543519	gray23
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Granulicella;unkn. Granulicella(g)	0.41397533193218	0.135312683213488	gray23
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Terriglobus;unkn. Terriglobus(g)	0.643290042984931	0.221179746235257	gray23
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;unkn. Acidobacteriaceae(f);unkn. Acidobacteriaceae(f)	0.273725906876753	0.339054001278167	gray23
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;unkn. Acidobacteriaceae(f);unkn. unkn. Acidobacteriaceae(f)(g)	-0.917619580654991	0.253456373615568	gray23
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;unkn. Acidobacteriales(o);unkn. Acidobacteriales(o);unkn. Acidobacteriales(o)	0.50893727566074	1.15069653713698	gray23
Bacteria;Acidobacteria;Acidobacteriia;unkn. Acidobacteriia(c);unkn. Acidobacteriia(c);unkn. Acidobacteriia(c);unkn. Acidobacteriia(c)	0.333539362328665	0.54951529321949	gray23
Bacteria;Acidobacteria;Blastocatellia;unkn. Blastocatellia(c);unkn. Blastocatellia(c);Chloracidobacterium;unkn. Chloracidobacterium(g)	0.56728036436955	0.083984587089237	gray23
Bacteria;Acidobacteria;Blastocatellia;unkn. Blastocatellia(c);unkn. Blastocatellia(c);unkn. Blastocatellia(c);unkn. Blastocatellia(c)	1.023240053219	0.358194989571081	gray23
Bacteria;Acidobacteria;Blastocatellia;unkn. Blastocatellia(c);unkn. Blastocatellia(c);unkn. unkn. Blastocatellia(c)(f);unkn. unkn. Blastocatellia(c)(f)	0.724286976833069	0.181630893124555	gray23
Bacteria;Acidobacteria;Blastocatellia;unkn. Blastocatellia(c);unkn. unkn. Blastocatellia(c)(o);unkn. unkn. Blastocatellia(c)(o);unkn. unkn. Blastocatellia(c)(o)	-0.299952830503917	0.0786965554730163	gray23
Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae;Candidatus Solibacter;Candidatus Solibacter usitatus	0.454289631038188	0.158231771823174	gray23
Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae;Candidatus Solibacter;unkn. Candidatus Solibacter(g)	0.743212107102171	0.673471272854449	gray23
Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae;unkn. Solibacteraceae(f);unkn. Solibacteraceae(f)	0.860464283508171	1.26238161815143	gray23
Bacteria;Acidobacteria;Solibacteres;Solibacterales;unkn. Solibacterales(o);unkn. Solibacterales(o);unkn. Solibacterales(o)	0.318761477784732	0.382223701246688	gray23
