"OTU","90543_ID2592_1-A-HOBBS-A001-A03_S91_L001_R1_001","90544_ID2592_2-B-HOBBS-A001-B03_S92_L001_R1_001","90545_ID2592_3-C-HOBBS-A001-C03_S93_L001_R1_001","90546_ID2592_4-D-HOBBS-A001-D03_S94_L001_R1_001","90547_ID2592_5-A-RROSE-A001-E03_S95_L001_R1_001","90548_ID2592_6-C-RROSE-1-A001-F03_S96_L001_R1_001","90549_ID2592_7-C-RROSE-2-A001-G03_S97_L001_R1_001","90550_ID2592_8-D-RROSE-A001-H03_S98_L001_R1_001","90551_ID2592_9-A-DENVER-A001-A04_S99_L001_R1_001","90552_ID2592_10-B-DENVER-A001-B04_S100_L001_R1_001","90553_ID2592_11-C-DENVER-A001-C04_S101_L001_R1_001","90554_ID2592_12-D-DENVER-A001-D04_S102_L001_R1_001","90555_ID2592_13-A-KSW2-A001-E04_S103_L001_R1_001","90556_ID2592_14-B-KSW2-A001-F04_S104_L001_R1_001","90557_ID2592_15-C-KSW2-A001-G04_S105_L001_R1_001","90558_ID2592_16-D-KSW2-A001-H04_S106_L001_R1_001","90559_ID2600_1-SB1-A001-A03_S219_L004_R1_001","90560_ID2600_2-SB2-A001-B03_S220_L004_R1_001","90561_ID2600_3-SB3-A001-C03_S221_L004_R1_001","90562_ID2600_4-SB4-A001-D03_S222_L004_R1_001","90563_ID2600_5-SB5-A001-E03_S223_L004_R1_001","90564_ID2600_6-SB6-A001-F03_S224_L004_R1_001","Taxonomic lineage"
"Ignavibacteriae","0.00016","0","0.00016","0.00024","0.0003","0.00045","0.00032","0.00056","0.0001","9.0E-5","0.00053","0.00016","7.0E-5","0.00015","0","0","0.00017","0.00061","0.00028","8.0E-5","0.00067","0.00011","Bacteria;Ignavibacteriae"
"Kinorhyncha","0","0","0","0","0","0","0","0.00011","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0E-5","Eukaryota;Kinorhyncha"
"Kiritimatiellaeota","0.00093","0.00094","0.00232","0.00187","0.0021","0.00265","0.00266","0.00368","0.00087","0.00251","0.00544","0.00339","0.00133","0.00185","0.00116","0.00432","0.00226","0.00266","0.00324","0.00344","0.00419","0.00449","Bacteria;Kiritimatiellaeota"
"Lentisphaerae","0.00155","0.00141","0.00208","0.00203","0.00188","0.00254","0.00202","0.00257","0.00145","0.0013","0.00234","0.0021","0.00189","0.00215","0.00189","0.00229","0.00235","0.00511","0.00219","0.00473","0.00239","0.00373","Bacteria;Lentisphaerae"
"Loricifera","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Eukaryota;Loricifera"
"Microsporidia","0.00031","0","0","0","8.0E-5","0","0","0","0","9.0E-5","0","0.00016","0","8.0E-5","0","0","0.00017","0.0002","0","8.0E-5","4.0E-5","0.00014","Eukaryota;Microsporidia"
"Mollusca","0.00109","0.00054","0.00016","0.00065","0.00113","0.00034","0.00089","0","0.00058","0.00037","0.00068","0.00032","0.00028","0.00031","0.00015","0.00025","0.00052","0.00123","0.00078","0.00084","0.00101","0.00073","Eukaryota;Mollusca"
"Mucoromycota","0.73671","0.10224","0.17358","0.17343","0.05183","0.03229","0.07035","0.0682","0.02133","0.06876","0.09323","0.04494","0.04827","0.64191","0.18002","0.05078","0.1982","0.05379","0.02863","0.05191","0.01333","0.02818","Eukaryota;Mucoromycota"
"Nematoda","0.68598","0.05145","0.05365","0.0892","0.04493","0.04759","0.04251","0.0471","0.13969","0.05048","0.05639","0.0514","0.0475","0.04022","0.03938","0.03374","0.07956","0.07424","0.1186","0.07306","0.06495","0.0508","Eukaryota;Nematoda"
"Nemertea","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00014","0","0","0","Eukaryota;Nemertea"
"Nitrospinae","0","0","0","0","0","6.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.0E-5","0","Bacteria;Nitrospinae"
"Nitrospirae","0.0408","0.02147","0.03262","0.03353","0.0546","0.042","0.04308","0.04353","0.02646","0.0296","0.06371","0.0568","0.01315","0.02361","0.01262","0.06256","0.01624","0.0272","0.02962","0.04634","0.04306","0.03536","Bacteria;Nitrospirae"
"Olpidiomycota","0.00031","0","0","0.00016","0.00015","6.0E-5","0","0","0","0","0","0","0","0","0","0","9.0E-5","0","7.0E-5","0.00015","0.00017","6.0E-5","Eukaryota;Olpidiomycota"
"Onychophora","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00061","7.0E-5","0","0","0","Eukaryota;Onychophora"
"Picozoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","Eukaryota;Picozoa"
"Placozoa","0","0","0","0","0","0","0","0","0.0001","0","0","0","0","0","0","0","0","0.0002","0","0","8.0E-5","0","Eukaryota;Placozoa"
"Planctomycetes","0.42273","0.57426","0.56494","0.52526","0.67361","0.7386","0.76316","0.60295","0.66683","0.75782","0.99258","0.88322","0.44579","0.50339","0.62369","0.76251","0.70324","0.81969","0.69435","0.75074","0.71393","0.69729","Bacteria;Planctomycetes"
"Platyhelminthes","0.00264","0.00174","0.00264","0.00171","0.00128","0.0013","0.00105","0.00145","0.00165","0.00065","0.00302","0.00178","0.00105","0.00077","0.00138","0.00085","0.01972","0.00348","0.00917","0.01137","0.00922","0.00738","Eukaryota;Platyhelminthes"
"Porifera","0.00031","0.00067","0.00072","0.00098","0.0009","0.0009","0.00032","0.00056","0.00058","0.00074","0.00121","0.00065","7.0E-5","0.00062","0.00065","0.00051","0.00096","0.00061","0.00078","0.00061","0.0005","0.00082","Eukaryota;Porifera"
"Priapulida","0.00031","0.0002","0.00024","0","0","0.00034","0.00024","0.00045","0","0.00019","0.00015","0.00065","0","0.00023","0","0.00025","9.0E-5","0.00041","0.00021","0.00023","0.00017","0.00017","Eukaryota;Priapulida"
"Proteobacteria","46.32739","54.44052","54.51911","62.0673","44.18132","44.5188","38.42583","39.47585","42.84622","49.35343","48.69751","46.30926","34.01571","35.23965","34.16379","30.41348","41.74005","44.83366","46.28669","43.31072","49.0531","31.03118","Bacteria;Proteobacteria"
"Rotifera","0.00016","0","0","0","0","0.00011","8.0E-5","0.00011","0","0","0.00015","0.00024","0","0","7.0E-5","0.00017","0.00052","0","0.00141","0.00015","0.00034","6.0E-5","Eukaryota;Rotifera"
"Spirochaetes","0.00217","0.00228","0.0032","0.00399","0.00315","0.00299","0.00307","0.00313","0.00184","0.00213","0.00377","0.00299","0.0021","0.00162","0.00181","0.00263","0.00356","0.00286","0.00303","0.0042","0.00365","0.00399","Bacteria;Spirochaetes"
"Streptophyta","5.61987","1.96743","1.89422","2.50959","0.68748","0.15672","0.60182","1.12039","1.63","1.7067","0.28111","0.70231","0.58642","2.57532","1.42922","0.18005","2.04667","0.53685","0.09336","0.30598","0.40694","0.12424","Eukaryota;Streptophyta"
"Synergistetes","0.00434","0.00228","0.00296","0.00342","0.0066","0.00553","0.00484","0.00603","0.00213","0.00306","0.00453","0.0067","0.0035","0.00308","0.00283","0.00805","0.00634","0.01023","0.00613","0.00641","0.00625","0.00645","Bacteria;Synergistetes"
"Tardigrada","0","7.0E-5","0","0","0","0","0","0.00011","0","0","0","0","0","0","0","0","0","0","0","0","0","6.0E-5","Eukaryota;Tardigrada"
"Tenericutes","0.00496","0.00141","0.00176","0.00309","0.0012","0.00062","0.00081","0.00179","0.00116","0.0013","0.00234","0.00121","0.00112","0.00231","0.00044","0.00076","0.00877","0.00654","0.0012","0.00198","0.00105","0.00076","Bacteria;Tenericutes"
"Thaumarchaeota","0.16164","0.05427","0.08731","0.08871","0.17416","0.13205","0.16941","0.16564","0.08773","0.04881","0.10893","0.12894","0.03155","0.11629","0.03039","0.31136","0.03526","0.00982","0.05324","0.07054","0.07941","0.03367","Archaea;Thaumarchaeota"
"Thermodesulfobacteria","0","7.0E-5","0.00024","0.00016","0.00023","0.00023","0","0.00033","0.0001","9.0E-5","0.00023","0","0","0","0.00015","0.00017","0.00017","0.00041","0","8.0E-5","8.0E-5","0.00034","Bacteria;Thermodesulfobacteria"
"Thermotogae","0.00016","7.0E-5","0.00056","0.00033","0.00023","0.00068","0.00032","0.00033","0.0001","9.0E-5","0.00045","0.00081","0.00014","8.0E-5","0.00029","0.00059","0.00052","0.0002","0.00035","0.00046","0.00038","0.00057","Bacteria;Thermotogae"
"unkn. Archaea(d)","0.06298","0.03562","0.04725","0.04688","0.06848","0.07525","0.07244","0.074","0.03596","0.04398","0.07149","0.07214","0.03519","0.05691","0.04229","0.11258","0.05489","0.08569","0.06494","0.08023","0.0691","0.07143","Archaea;unkn. Archaea(d)"
"unkn. Bacteria(d)","10.11552","9.45597","11.26664","10.68627","12.80554","14.23679","13.61127","13.67376","10.3785","10.72356","13.67112","13.77388","10.99667","11.59085","11.28948","15.38115","13.64466","16.67774","14.97394","14.86981","14.12767","13.77432","Bacteria;unkn. Bacteria(d)"
"unkn. Eukaryota(d)","1.73683","0.55326","0.57237","0.72547","0.44312","0.401","0.31406","0.43552","0.59442","0.43816","0.33984","0.37851","0.3503","0.65214","0.39624","0.46047","0.48768","0.35422","0.34291","0.36239","0.36644","0.27852","Eukaryota;unkn. Eukaryota(d)"
"unkn. Viroids(d)","0","0","0","0","0","0","0","0","0.0001","9.0E-5","0","0","0","0.00015","0","0","0","0","0","0","0","0","Viroids;unkn. Viroids(d)"
"unkn. Viruses(d)","0.05724","0.02361","0.03302","0.03646","0.07455","0.0494","0.03896","0.1067","0.03625","0.04408","0.04114","0.04083","0.04058","0.026","0.03518","0.07265","0.03639","0.03784","0.03293","0.0355","0.03702","0.07138","Viruses;unkn. Viruses(d)"
"Verrucomicrobia","0.24123","0.20233","0.28423","0.2916","0.18713","0.25484","0.2212","0.19376","0.34558","0.25221","0.22374","0.19656","0.21681","0.24104","0.24073","0.19489","0.33586","0.69719","0.53845","0.61439","0.52757","0.40516","Bacteria;Verrucomicrobia"
"Xenacoelomorpha","0","0","8.0E-5","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","0","7.0E-5","0","0","0","Eukaryota;Xenacoelomorpha"
"Zoopagomycota","0","0","0","8.0E-5","0","0","8.0E-5","0","0","0","0.00015","8.0E-5","0.00014","0","0","0","0","0.0002","0","0.00015","0","8.0E-5","Eukaryota;Zoopagomycota"
