"OTU","90543_ID2592_1-A-HOBBS-A001-A03_S91_L001_R1_001","90544_ID2592_2-B-HOBBS-A001-B03_S92_L001_R1_001","90545_ID2592_3-C-HOBBS-A001-C03_S93_L001_R1_001","90546_ID2592_4-D-HOBBS-A001-D03_S94_L001_R1_001","90547_ID2592_5-A-RROSE-A001-E03_S95_L001_R1_001","90548_ID2592_6-C-RROSE-1-A001-F03_S96_L001_R1_001","90549_ID2592_7-C-RROSE-2-A001-G03_S97_L001_R1_001","90550_ID2592_8-D-RROSE-A001-H03_S98_L001_R1_001","90551_ID2592_9-A-DENVER-A001-A04_S99_L001_R1_001","90552_ID2592_10-B-DENVER-A001-B04_S100_L001_R1_001","90553_ID2592_11-C-DENVER-A001-C04_S101_L001_R1_001","90554_ID2592_12-D-DENVER-A001-D04_S102_L001_R1_001","90555_ID2592_13-A-KSW2-A001-E04_S103_L001_R1_001","90556_ID2592_14-B-KSW2-A001-F04_S104_L001_R1_001","90557_ID2592_15-C-KSW2-A001-G04_S105_L001_R1_001","90558_ID2592_16-D-KSW2-A001-H04_S106_L001_R1_001","90559_ID2600_1-SB1-A001-A03_S219_L004_R1_001","90560_ID2600_2-SB2-A001-B03_S220_L004_R1_001","90561_ID2600_3-SB3-A001-C03_S221_L004_R1_001","90562_ID2600_4-SB4-A001-D03_S222_L004_R1_001","90563_ID2600_5-SB5-A001-E03_S223_L004_R1_001","90564_ID2600_6-SB6-A001-F03_S224_L004_R1_001","Taxonomic lineage"
"Candidatus Aminicenantes","0.00016","0.00013","0.00016","0.00016","0","0","0.00016","0.00011","0","9.0E-5","0","0.00024","7.0E-5","8.0E-5","7.0E-5","8.0E-5","9.0E-5","0.00041","0.00056","0","0","0.0002","Bacteria;Candidatus Aminicenantes"
"Candidatus Atribacteria","0.00016","0","0","0","8.0E-5","0","0","0.00011","0","0","0","8.0E-5","0","0","0","8.0E-5","0","0","0.00028","0.00015","0","0","Bacteria;Candidatus Atribacteria"
"Candidatus Bathyarchaeota","0.00031","0.00034","0.0004","0.00033","0.0003","0.00023","0.00016","0","0.00019","9.0E-5","0.00023","0.00056","0.00035","0.00023","0.00015","0.00025","0.00052","0.0002","0","0.00069","4.0E-5","0.00014","Archaea;Candidatus Bathyarchaeota"
"Candidatus Beckwithbacteria","0.00016","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0.00015","7.0E-5","0","0","0","0","0","0","0","Bacteria;Candidatus Beckwithbacteria"
"Candidatus Berkelbacteria","0","7.0E-5","0","0","8.0E-5","0","0","0.00022","0","0","0","0","0","0","0","0","0","0","0.00014","0","0","3.0E-5","Bacteria;Candidatus Berkelbacteria"
"Candidatus Bipolaricaulota","0.00124","0.00121","0.0012","0.00098","0.00165","0.00237","0.00153","0.0019","0.00136","0.00102","0.00219","0.00153","0.00077","0.00162","0.00058","0.00246","0.00148","0.00286","0.0024","0.00206","0.00231","0.00198","Bacteria;Candidatus Bipolaricaulota"
"Candidatus Campbellbacteria","0","0","8.0E-5","0.00016","0","0","0","0.00011","0","0","0.00015","0.00016","0.00014","0","7.0E-5","0","0.00017","0","0","0","8.0E-5","0","Bacteria;Candidatus Campbellbacteria"
"Candidatus Cloacimonetes","0","0","0","0","0","0","8.0E-5","0","0","0","8.0E-5","0","0","0","0","0","0.00017","0","7.0E-5","0","0","0","Bacteria;Candidatus Cloacimonetes"
"Candidatus Daviesbacteria","0","0","0","0.00016","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0.00017","0","0","0","0","0","Bacteria;Candidatus Daviesbacteria"
"Candidatus Gracilibacteria","0","7.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria;Candidatus Gracilibacteria"
"Candidatus Latescibacteria","0","0.00034","0.00024","8.0E-5","0.00053","0.0004","0","0","0.0001","0","0.00015","0.00056","0","0.00031","0.00015","0.00034","0.00043","0.00082","0","0.00053","0.00029","0.00031","Bacteria;Candidatus Latescibacteria"
"Candidatus Levybacteria","0","0","0","0","0","6.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria;Candidatus Levybacteria"
"Candidatus Marinimicrobia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0E-5","Bacteria;Candidatus Marinimicrobia"
"Candidatus Melainabacteria","0.00016","0","0.00024","0","0.00015","0.00023","0.00016","0.00011","0.00019","9.0E-5","0.00023","0","0.00021","0","7.0E-5","0","0.00026","0.0002","7.0E-5","0.00023","0.00013","0","Bacteria;Candidatus Melainabacteria"
"Candidatus Microgenomates","0","0","0","0","0","6.0E-5","0","0","0","0","0","0","0","0","0","0","0","0.0002","0","0","4.0E-5","0","Bacteria;Candidatus Microgenomates"
"Candidatus Omnitrophica","0","0","0","0","0","0","0","0","0","0","0","0","7.0E-5","0","0","0","0","0","0","0","4.0E-5","0","Bacteria;Candidatus Omnitrophica"
"Candidatus Pacebacteria","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria;Candidatus Pacebacteria"
"Candidatus Parcubacteria","0","0","0","0","0","0","0","0","0.0001","0","0","0","0","0","0","0","0","0.0002","0","0","0","0","Bacteria;Candidatus Parcubacteria"
"Candidatus Peregrinibacteria","0.00016","0.00027","0.00016","8.0E-5","0.00023","0.00096","0.00065","0.00045","0.0001","0.00046","0.00075","0.00073","0.00021","0.00015","0.00029","0.00051","0.00043","0.00041","0.00056","0.00038","0.00034","0.00065","Bacteria;Candidatus Peregrinibacteria"
"Candidatus Rokubacteria","0","0","0","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","Bacteria;Candidatus Rokubacteria"
"Candidatus Saccharibacteria","0.0031","0.00161","0.00432","0.00146","0.00518","0.01304","0.00734","0.0106","0.0032","0.00176","0.01087","0.00541","0.00448","0.00377","0.00428","0.00407","0.02519","0.0045","0.00409","0.00397","0.00411","0.00206","Bacteria;Candidatus Saccharibacteria"
"Candidatus Tectomicrobia","0","0","0.00024","0.00024","0.00015","0.00051","0.0004","0.00056","0.0001","9.0E-5","0.00023","0","0","0.00015","7.0E-5","0.00034","0.00026","0.0002","0.00028","0.00015","0.00059","0.00068","Bacteria;Candidatus Tectomicrobia"
"Candidatus Woesebacteria","0","0","0","0","8.0E-5","6.0E-5","0","0","0","0","8.0E-5","0.00016","0","0","0","0","0","0","0","0","0","0","Bacteria;Candidatus Woesebacteria"
"Candidatus Wolfebacteria","0","0","0","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","8.0E-5","0","0","0","0","0","0","Bacteria;Candidatus Wolfebacteria"
"Chlamydiae","0.00217","0.00242","0.00392","0.00212","0.00293","0.00311","0.00331","0.00201","0.00204","0.00121","0.00521","0.0021","0.0007","0.00054","0.00029","0.00042","0.00061","0.00041","0.00063","0.00092","0.00088","0.00034","Bacteria;Chlamydiae"
"Chlorobi","0.00915","0.00664","0.00895","0.00773","0.01058","0.01067","0.00799","0.00982","0.00591","0.00585","0.01276","0.01041","0.00497","0.00692","0.00529","0.01204","0.01251","0.01718","0.01403","0.01267","0.01161","0.01363","Bacteria;Chlorobi"
"Chloroflexi","0.07756","0.05407","0.06844","0.05656","0.0993","0.12414","0.12415","0.12925","0.06534","0.07275","0.1084","0.12499","0.06639","0.07914","0.06876","0.16183","0.08572","0.10042","0.11169","0.11436","0.10213","0.10821","Bacteria;Chloroflexi"
"Chlorophyta","0.00977","0.00738","0.00959","0.00749","0.0105","0.01118","0.01178","0.01027","0.00582","0.00714","0.01366","0.01469","0.00833","0.009","0.00638","0.015","0.01876","0.0227","0.02186","0.01794","0.01941","0.01591","Eukaryota;Chlorophyta"
"Chordata","0.4975","0.41969","0.4283","0.57409","0.27241","0.29396","0.25759","0.28574","0.36574","0.32987","0.3181","0.32453","0.19897","0.30542","0.26786","0.17539","2.1918","0.49738","0.35645","0.52759","0.3376","0.51507","Eukaryota;Chordata"
"Chromerida","0","0","8.0E-5","0","0","0.00023","0","0","0","0","8.0E-5","0","0","0.00015","0","0","0","0","7.0E-5","0","8.0E-5","0","Eukaryota;Chromerida"
"Chrysiogenetes","0.00047","0.00013","0.00048","0.00033","0.00075","0.00045","0.00048","0.00045","0.00019","0.00028","0.00038","0.00048","0.00049","0.00015","0.00022","8.0E-5","0.00017","0.00102","0.00014","0.00076","0.00025","0.00057","Bacteria;Chrysiogenetes"
