"OTU","90543_ID2592_1-A-HOBBS-A001-A03_S91_L001_R1_001","90544_ID2592_2-B-HOBBS-A001-B03_S92_L001_R1_001","90545_ID2592_3-C-HOBBS-A001-C03_S93_L001_R1_001","90546_ID2592_4-D-HOBBS-A001-D03_S94_L001_R1_001","90547_ID2592_5-A-RROSE-A001-E03_S95_L001_R1_001","90548_ID2592_6-C-RROSE-1-A001-F03_S96_L001_R1_001","90549_ID2592_7-C-RROSE-2-A001-G03_S97_L001_R1_001","90550_ID2592_8-D-RROSE-A001-H03_S98_L001_R1_001","90551_ID2592_9-A-DENVER-A001-A04_S99_L001_R1_001","90552_ID2592_10-B-DENVER-A001-B04_S100_L001_R1_001","90553_ID2592_11-C-DENVER-A001-C04_S101_L001_R1_001","90554_ID2592_12-D-DENVER-A001-D04_S102_L001_R1_001","90555_ID2592_13-A-KSW2-A001-E04_S103_L001_R1_001","90556_ID2592_14-B-KSW2-A001-F04_S104_L001_R1_001","90557_ID2592_15-C-KSW2-A001-G04_S105_L001_R1_001","90558_ID2592_16-D-KSW2-A001-H04_S106_L001_R1_001","90559_ID2600_1-SB1-A001-A03_S219_L004_R1_001","90560_ID2600_2-SB2-A001-B03_S220_L004_R1_001","90561_ID2600_3-SB3-A001-C03_S221_L004_R1_001","90562_ID2600_4-SB4-A001-D03_S222_L004_R1_001","90563_ID2600_5-SB5-A001-E03_S223_L004_R1_001","90564_ID2600_6-SB6-A001-F03_S224_L004_R1_001","Taxonomic lineage"
"unkn. Oleiphilaceae(f)","0","0.00013","0","8.0E-5","0.00015","0","0","0.00022","0.00039","9.0E-5","0.00015","0.00016","0","0","0","8.0E-5","0","0","0","0","4.0E-5","0","Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oleiphilaceae;unkn. Oleiphilaceae(f)"
"unkn. Oligoflexia(c)","0.00031","7.0E-5","0.00016","0","0.0003","0.00017","0.00016","0.00011","0.00019","9.0E-5","0.00015","0.00032","7.0E-5","0.00023","7.0E-5","0.00025","0.00035","0.00082","0.00021","8.0E-5","0.00038","0.0002","Bacteria;Proteobacteria;Oligoflexia;unkn. Oligoflexia(c);unkn. Oligoflexia(c);unkn. Oligoflexia(c)"
"unkn. Oligohymenophorea(c)","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0.00014","0","0","0","0","0","7.0E-5","0","4.0E-5","0","Eukaryota;unkn. Eukaryota(d);Oligohymenophorea;unkn. Oligohymenophorea(c);unkn. Oligohymenophorea(c);unkn. Oligohymenophorea(c)"
"unkn. Oligotomidae(f)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00035","0","0","0","0","0","Eukaryota;Arthropoda;Insecta;Embioptera;Oligotomidae;unkn. Oligotomidae(f)"
"unkn. Olindiidae(f)","0","7.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Eukaryota;Cnidaria;Hydrozoa;Limnomedusae;Olindiidae;unkn. Olindiidae(f)"
"unkn. Olpidiales(o)","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Eukaryota;Olpidiomycota;Olpidiomycetes;Olpidiales;unkn. Olpidiales(o);unkn. Olpidiales(o)"
"unkn. Olpidiomycota(p)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0E-5","0","0","0","Eukaryota;Olpidiomycota;unkn. Olpidiomycota(p);unkn. Olpidiomycota(p);unkn. Olpidiomycota(p);unkn. Olpidiomycota(p)"
"unkn. Omphalotaceae(f)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00035","0","0","0","0","0","Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;Omphalotaceae;unkn. Omphalotaceae(f)"
"unkn. Onchocercidae(f)","0.00186","0.0049","0.00296","0.00423","0.00143","0.00186","0.0025","0.00134","0.00233","0.00158","0.00189","0.00169","0.00112","0.00123","0.00102","0.00051","0.00226","0.00123","0.00049","0.00084","0.00159","0.00082","Eukaryota;Nematoda;Chromadorea;Rhabditida;Onchocercidae;unkn. Onchocercidae(f)"
"unkn. Onychophora(p)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0E-5","0","0","0","Eukaryota;Onychophora;unkn. Onychophora(p);unkn. Onychophora(p);unkn. Onychophora(p);unkn. Onychophora(p)"
