"OTU","90543_ID2592_1-A-HOBBS-A001-A03_S91_L001_R1_001","90544_ID2592_2-B-HOBBS-A001-B03_S92_L001_R1_001","90545_ID2592_3-C-HOBBS-A001-C03_S93_L001_R1_001","90546_ID2592_4-D-HOBBS-A001-D03_S94_L001_R1_001","90547_ID2592_5-A-RROSE-A001-E03_S95_L001_R1_001","90548_ID2592_6-C-RROSE-1-A001-F03_S96_L001_R1_001","90549_ID2592_7-C-RROSE-2-A001-G03_S97_L001_R1_001","90550_ID2592_8-D-RROSE-A001-H03_S98_L001_R1_001","90551_ID2592_9-A-DENVER-A001-A04_S99_L001_R1_001","90552_ID2592_10-B-DENVER-A001-B04_S100_L001_R1_001","90553_ID2592_11-C-DENVER-A001-C04_S101_L001_R1_001","90554_ID2592_12-D-DENVER-A001-D04_S102_L001_R1_001","90555_ID2592_13-A-KSW2-A001-E04_S103_L001_R1_001","90556_ID2592_14-B-KSW2-A001-F04_S104_L001_R1_001","90557_ID2592_15-C-KSW2-A001-G04_S105_L001_R1_001","90558_ID2592_16-D-KSW2-A001-H04_S106_L001_R1_001","90559_ID2600_1-SB1-A001-A03_S219_L004_R1_001","90560_ID2600_2-SB2-A001-B03_S220_L004_R1_001","90561_ID2600_3-SB3-A001-C03_S221_L004_R1_001","90562_ID2600_4-SB4-A001-D03_S222_L004_R1_001","90563_ID2600_5-SB5-A001-E03_S223_L004_R1_001","90564_ID2600_6-SB6-A001-F03_S224_L004_R1_001","Taxonomic lineage"
"Absidia","0","0","0","0","0","0","0","0","0.0001","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","Eukaryota;Mucoromycota;Mucoromycetes;Mucorales;Cunninghamellaceae;Absidia"
"Acanthamoeba","0.00047","0.00429","0.00152","0.00505","0.00113","0.00073","0.00242","0.00134","0.0031","0.00065","0.00143","0.00194","0.00259","0.00054","0.00044","0.0011","0.00061","0.00184","0.00719","0.0084","0.00482","0.00447","Eukaryota;unkn. Eukaryota(d);unkn. Eukaryota(d);Longamoebia;Acanthamoebidae;Acanthamoeba"
"Acanthaster","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00015","0","0","Eukaryota;Echinodermata;Asteroidea;Valvatida;Acanthasteridae;Acanthaster"
"Acanthisitta","0","0","0","0","0","6.0E-5","0","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","Eukaryota;Chordata;Aves;Passeriformes;Acanthisittidae;Acanthisitta"
"Acanthus","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Eukaryota;Streptophyta;unkn. Streptophyta(p);Lamiales;Acanthaceae;Acanthus"
"Acaromyces","0","0","0","0","0.00015","0.00023","0","0.00011","0","0","0","0","0","0","0","0","0.00035","0","7.0E-5","8.0E-5","4.0E-5","0","Eukaryota;Basidiomycota;Exobasidiomycetes;Exobasidiales;Cryptobasidiaceae;Acaromyces"
"Acaryochloris","0.00016","0","0","0","8.0E-5","6.0E-5","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","4.0E-5","6.0E-5","Bacteria;Cyanobacteria;unkn. Cyanobacteria(p);Synechococcales;Acaryochloridaceae;Acaryochloris"
"Acaulon","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0E-5","0","0","0","Eukaryota;Streptophyta;Bryopsida;Pottiales;Pottiaceae;Acaulon"
"Acephala","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0E-5","0","0","0","Eukaryota;Ascomycota;Leotiomycetes;Helotiales;unkn. Helotiales(o);Acephala"
"Acer","0.00047","0.00047","0.00032","0.00049","0","0","0","0.00011","0","0.00028","8.0E-5","0.00024","7.0E-5","0.00023","0.00015","0","0","0","0","0","0","0","Eukaryota;Streptophyta;unkn. Streptophyta(p);Sapindales;Sapindaceae;Acer"
"Acervus","0","0","0","0","0","0","0","0","0","0","0","0","7.0E-5","0","0","0","0","0","0","0","0","0","Eukaryota;Ascomycota;Pezizomycetes;Pezizales;Pyronemataceae;Acervus"
"Acetabularia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0E-5","0","0.00025","3.0E-5","Eukaryota;Chlorophyta;Ulvophyceae;Dasycladales;Polyphysaceae;Acetabularia"
"Acetobacter","0.00016","0.0002","0.00056","0.00024","0.0003","0.0004","0.00024","0.00022","0.00019","0.00019","0.0003","0.00024","0.00056","0.00023","0.00044","0.00017","0.00061","0.00061","0.00042","0.00053","0.00038","0.00028","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter"
"Achaetomium","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","0","Eukaryota;Ascomycota;Sordariomycetes;Sordariales;Chaetomiaceae;Achaetomium"
"Achatinella","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","0","Eukaryota;Mollusca;Gastropoda;Stylommatophora;Achatinellidae;Achatinella"
"Achillea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.0E-5","0","0","0","0","0","Eukaryota;Streptophyta;unkn. Streptophyta(p);Asterales;Asteraceae;Achillea"
"Achromobacter","0.0847","0.01362","0.01823","0.01839","0.042","0.00937","0.09068","0.01306","0.0285","0.01503","0.0305","0.02824","0.01161","0.00915","0.00907","0.01289","0.0145","0.07178","0.02094","0.11184","0.0465","0.05018","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter"
"Acidaminococcus","0.00016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Acidaminococcus"
"Acidea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00035","0","0","0","0","0","Eukaryota;Ascomycota;Leotiomycetes;unkn. Leotiomycetes(c);unkn. Leotiomycetes(c);Acidea"
"Acidiferrobacter","0.00031","0.00013","0.00032","0","8.0E-5","0.00011","8.0E-5","0.00033","0.00019","9.0E-5","0.00015","0.00016","0","0.00015","0.00015","0.00025","9.0E-5","0","0","0","4.0E-5","3.0E-5","Bacteria;Proteobacteria;Gammaproteobacteria;Acidiferrobacterales;Acidiferrobacteraceae;Acidiferrobacter"
"Acidihalobacter","0.00171","0.00134","0.0012","0.00285","0.0021","0.0013","0.00073","0.00134","0.00136","0.00223","0.00174","0.00113","0.00105","0.00115","0.00102","0.00093","9.0E-5","0.00102","0.00014","0.00137","0.00088","0.00102","Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Acidihalobacter"
"Acidimicrobium","0.00124","0.0004","0.00048","0.00033","0.00128","0.0013","0.00145","0.00078","0.00068","0.00056","0.00113","0.00169","0.00056","0.00077","0.00051","0.00229","0.00087","0.00205","0.00085","0.00137","0.00113","0.0017","Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidimicrobium"
"Acidiphilium","0.00202","0.00262","0.004","0.0026","0.00435","0.00322","0.00194","0.00246","0.00204","0.00204","0.00317","0.00339","0.00448","0.00223","0.00181","0.00407","0.0033","0.0047","0.00564","0.00389","0.00293","0.00362","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium"
"Acidipropionibacterium","0.00109","0.00027","0.00072","0.00033","0.00105","0.00068","0.00145","0.00156","0.00116","0.00056","0.00143","0.00097","0.00105","0.00092","0.00051","0.00085","0.00122","0.00041","0.00127","0.0016","0.00067","0.0013","Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Acidipropionibacterium"
"Acidisphaera","0.00047","0.00121","0.00064","0.00041","0.00105","0.00113","0.00153","0.00056","0.00058","0.00102","0.00106","0.00161","0.00091","0.00031","0.00051","0.00076","0.00087","0.00123","0.00169","0.00191","0.00138","0.0013","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidisphaera"
"Aciditerrimonas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0E-5","0","0","0","0","0","0","0","Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Aciditerrimonas"
"Acidithiobacillus","0.00047","0.00067","0","0.00033","0.00038","0.00051","0.00065","0.00022","0.00058","0.00046","0.00159","0.00081","0.00042","0.00015","0.00022","0.00042","0.00035","0","0.00071","0.00031","0.00017","0.00028","Bacteria;Proteobacteria;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus"
"Acidithiomicrobium","0","0","8.0E-5","0","0.00015","6.0E-5","0","0.00011","0.0001","0","8.0E-5","0.00016","0.00014","0","7.0E-5","0.00025","0","0.0002","0.00021","0.00023","4.0E-5","0.00051","Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidithiomicrobium"
"Acidobacterium","0","0.0004","0.0008","0.00049","0.00075","0.00073","0.00032","0.00033","0.0001","0","0.00075","0.00065","0","0.00046","0.00044","0.00127","0.00174","0.00102","0.00021","0.00145","0.0008","0.00073","Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacterium"
"Acidocella","0","0.0004","8.0E-5","0.00024","0.00045","0.00056","0.0004","0.00067","0.00039","0.00037","0.0006","0.0004","0.00063","0.00046","0","0.00059","0.00104","0.00061","0.00085","0.00038","0.00029","0.00051","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidocella"
"Acidomonas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","0","0","0","0","0","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidomonas"
"Acidothermus","0.00031","0.00013","8.0E-5","0.00016","0.00075","0.00062","0.00016","0.00045","0","0.00019","0.00053","0.0004","0.00014","0.00031","0.00022","0.00076","0.00017","0.0002","0","0.00084","0.00046","0.00048","Bacteria;Actinobacteria;Actinobacteria;Acidothermales;Acidothermaceae;Acidothermus"
"Acidovorax","0.24945","0.043","0.05493","0.08399","0.0585","0.01671","0.02452","0.02534","0.0571","0.05484","0.03842","0.04607","0.07647","0.03992","0.028","0.04044","0.05376","0.12087","0.22776","0.12909","0.09027","0.0556","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax"
"Acinetobacter","0.00078","0.00054","0.00032","0.00301","0.00038","0.00017","8.0E-5","0.00045","0.00087","0.00093","0.00083","0.00056","7.0E-5","8.0E-5","7.0E-5","0","0.00999","0.06892","0.10429","0.01763","0.006","0.03141","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter"
"Acinonyx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00026","0","0","0","0","0","Eukaryota;Chordata;Mammalia;Carnivora;Felidae;Acinonyx"
"Acremonium","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00023","0.00013","0","Eukaryota;Ascomycota;Sordariomycetes;Glomerellales;Plectosphaerellaceae;Acremonium"
"Acremonium","0","0.00013","0","0.00016","0.00015","0","0","0","0","0.00019","0.00015","0.00016","0","0.00015","0","0","0.00061","0","0.00056","0.00015","0.00025","0.00017","Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;unkn. Hypocreales(o);Acremonium"
"Acremonium","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","Eukaryota;Ascomycota;unkn. Ascomycota(p);unkn. Ascomycota(p);unkn. Ascomycota(p);Acremonium"
"Acrobeles","0","7.0E-5","8.0E-5","0","0","0.00028","8.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.0E-5","Eukaryota;Nematoda;Chromadorea;Rhabditida;Cephalobidae;Acrobeles"
"Acrobeloides","0","0","0.00016","0","0.00023","6.0E-5","0.00016","0.00011","0.0001","0","0","0","0","0.00015","0.00036","0.00042","9.0E-5","0","0","0","0","0","Eukaryota;Nematoda;Chromadorea;Rhabditida;Cephalobidae;Acrobeloides"
"Acrocalymma","0","0","0","0","8.0E-5","0.00011","8.0E-5","0","0","0.00111","0","0.00024","0","0.00154","0.00087","0.00017","9.0E-5","0","0","0","0","0","Eukaryota;Ascomycota;Dothideomycetes;Pleosporales;Morosphaeriaceae;Acrocalymma"
"Acrocarpospora","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0E-5","Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Streptosporangiaceae;Acrocarpospora"
"Acrophialophora","0","0","0","0","0","6.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Eukaryota;Ascomycota;unkn. Ascomycota(p);unkn. Ascomycota(p);unkn. Ascomycota(p);Acrophialophora"
"Acropora","0","0","0","0","0","0","0","0.00011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Eukaryota;Cnidaria;Anthozoa;Scleractinia;Acroporidae;Acropora"
"Acrosorium","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","Eukaryota;unkn. Eukaryota(d);Florideophyceae;Ceramiales;Delesseriaceae;Acrosorium"
"Acrospermum","0","0","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Eukaryota;Ascomycota;Dothideomycetes;Acrospermales;Acrospermaceae;Acrospermum"
"Actinidia","0.00047","0.00013","0","0.00024","8.0E-5","0","0","0","0","0","0","0","7.0E-5","8.0E-5","0.00015","0","0","0","0","0","0","0","Eukaryota;Streptophyta;unkn. Streptophyta(p);Ericales;Actinidiaceae;Actinidia"
"Actinoallomurus","0.00016","7.0E-5","8.0E-5","0.00016","8.0E-5","0.00011","8.0E-5","0.00011","0.00029","0.00019","0.00015","8.0E-5","7.0E-5","8.0E-5","0.00029","0.00025","0.00017","0","7.0E-5","8.0E-5","0","0.00023","Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinoallomurus"
"Actinoalloteichus","0.00636","0.01462","0.01303","0.01139","0.00983","0.01615","0.02154","0.0163","0.01551","0.02051","0.00898","0.01138","0.017","0.0213","0.02894","0.01331","0.02319","0.01248","0.01171","0.00992","0.01019","0.00862","Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Actinoalloteichus"
"Actinobacillus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0E-5","0","0","0","0","0","0","0","Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus"
"Actinobaculum","0","0","0","0","0.00015","0.00028","8.0E-5","0","0","0","0.0003","0","7.0E-5","0.00015","0","8.0E-5","9.0E-5","0","0","0","4.0E-5","0","Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinobaculum"
"Actinochloris","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00015","0.00017","0","Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Actinochloridaceae;Actinochloris"
"Actinocorallia","0","0.0002","0.0004","8.0E-5","8.0E-5","0.00017","8.0E-5","0.00045","0","0.00204","0.00023","0.00016","0","0","0.00015","0","0.00017","0","0","0.00053","0.00017","0.00014","Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinocorallia"
"Actinocyclus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.0E-5","0","Eukaryota;Bacillariophyta;Coscinodiscophyceae;Coscinodiscales;Hemidiscaceae;Actinocyclus"
"Actinokineospora","0","7.0E-5","0","0","0","0.00011","0.00024","0.00022","0.00019","9.0E-5","8.0E-5","0","0","0","0.00022","0","0","0.00041","7.0E-5","0","0","0","Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Actinokineospora"
"Actinomadura","0.00016","0.00013","0.00072","0.00033","0.00045","0.00068","0.0004","0.00045","0.0001","9.0E-5","0.00038","0.00081","0.0007","0.00023","7.0E-5","0.00136","0.00026","0.00041","0.00035","0.00046","0.00021","0.0002","Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinomadura"
"Actinomyces","0.00326","0.00215","0.0028","0.00252","0.00465","0.00435","0.00428","0.00469","0.0031","0.00334","0.00325","0.00323","0.00483","0.003","0.00305","0.00678","0.00252","0.0047","0.00381","0.00428","0.00344","0.00712","Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces"
"Actinomycetospora","0","0","0","0","0","0","0","0","0","0","8.0E-5","8.0E-5","0.00014","0","0","0","0.00035","0","0","8.0E-5","4.0E-5","0","Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Actinomycetospora"
"Actinophytocola","0","0","0","0","0","0.00011","0.00024","0","0","0","0","0","0.00021","0","0.00029","0","0.00017","0","0","0.00053","0.00013","0","Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Actinophytocola"
"Actinoplanes","2.09021","0.56453","1.24173","0.53153","2.07348","0.92626","1.76253","2.08776","3.6905","1.54914","0.74785","1.2953","5.71536","2.55563","3.84725","2.3478","0.74441","0.35913","0.84144","1.05526","0.71842","0.28347","Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinoplanes"
"Actinopolymorpha","0.01148","0.00671","0.00879","0.00651","0.01163","0.01231","0.01501","0.01261","0.00882","0.00956","0.00732","0.01009","0.01266","0.01615","0.01639","0.01695","0.01303","0.01043","0.01354","0.01191","0.00847","0.01586","Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Actinopolymorpha"
"Actinopolyspora","0.00062","0.00141","0.00152","0.00146","0.00233","0.00186","0.00218","0.0019","0.00145","0.00232","0.00136","0.00161","0.00161","0.00292","0.00341","0.00144","0.0013","0.00184","0.00183","0.00084","0.00109","0.00119","Bacteria;Actinobacteria;Actinobacteria;Actinopolysporales;Actinopolysporaceae;Actinopolyspora"
"Actinosynnema","0.01226","0.02462","0.02375","0.01644","0.0174","0.03297","0.05276","0.03907","0.03529","0.03044","0.01865","0.0234","0.04876","0.04022","0.05404","0.0273","0.07999","0.03559","0.02412","0.02634","0.03065","0.02386","Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Actinosynnema"
"Actinotalea","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0E-5","0","0","0","Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;Actinotalea"
"Actinotignum","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinotignum"
"Acuticoccus","0","0","0","0","0","0","0","0","0.00019","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Acuticoccus"
"Acyrthosiphon","0","0","0","0","0","0","0","0","0.0001","0","0","0","0","0","0","0","0","0","7.0E-5","0","4.0E-5","0.00011","Eukaryota;Arthropoda;Insecta;Hemiptera;Aphididae;Acyrthosiphon"
"Acytostelium","0.00031","0.0002","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0.00043","0.0002","7.0E-5","0","0","0","Eukaryota;unkn. Eukaryota(d);unkn. Eukaryota(d);Acytosteliales;Acytosteliaceae;Acytostelium"
"Adelosphaeria","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Eukaryota;Ascomycota;Sordariomycetes;Pleurotheciales;Pleurotheciaceae;Adelosphaeria"
"Adenocalymma","0.00031","0.00013","0","8.0E-5","0","0","0","0.00011","0","0.00019","0","0","0","8.0E-5","0.00015","0","0","0","0","0","0","0","Eukaryota;Streptophyta;unkn. Streptophyta(p);Lamiales;Bignoniaceae;Adenocalymma"
"Adhaeribacter","0","7.0E-5","0","0","0","0","0","0","0","0","0","0","7.0E-5","0","0","0","0","0","0","0.00023","4.0E-5","0","Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Adhaeribacter"
"Adiantum","0.00016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Eukaryota;Streptophyta;Polypodiopsida;Polypodiales;Pteridaceae;Adiantum"
"Adineta","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","0","0","7.0E-5","0","9.0E-5","0","0.00078","8.0E-5","0.00017","3.0E-5","Eukaryota;Rotifera;Bdelloidea;Adinetida;Adinetidae;Adineta"
"Adlercreutzia","0.00062","7.0E-5","8.0E-5","0","0","0.00011","0","0","0.0001","9.0E-5","0","0.00016","0","8.0E-5","0.00015","0","0","0.00123","0.00042","0","0","0.00017","Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Adlercreutzia"
"Adoxa","0","0","0","0","0","0","0","0","0","0","0.00015","0","0","0","0","0","0","0","0","0","0","0","Eukaryota;Streptophyta;unkn. Streptophyta(p);Dipsacales;Adoxaceae;Adoxa"
"Advenella","0","0","0","8.0E-5","0","0","0.00016","0.00011","0","0.00019","0","0","0","8.0E-5","7.0E-5","8.0E-5","9.0E-5","0.01043","0","0","0.00013","0.00955","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Advenella"
"Aedes","0","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0.00023","0.00013","3.0E-5","Eukaryota;Arthropoda;Insecta;Diptera;Culicidae;Aedes"
"Aegilops","0.00031","0.0002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00156","0","0","0","8.0E-5","3.0E-5","Eukaryota;Streptophyta;Liliopsida;Poales;Poaceae;Aegilops"
"Aeluropus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00017","0","0","0","4.0E-5","0","Eukaryota;Streptophyta;Liliopsida;Poales;Poaceae;Aeluropus"
"Aequorivita","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Aequorivita"
"Aeribacillus","0.00016","0","8.0E-5","0","0","0","8.0E-5","0","0.00019","0","0","0","0","0","0","0","0.00017","0","0","0.00015","4.0E-5","0.00023","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Aeribacillus"
"Aerococcus","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00021","0","0","0","Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus"
"Aeromicrobium","0.07912","0.03945","0.067","0.04305","0.22839","0.05792","0.10124","0.08003","0.12156","0.12852","0.05201","0.07068","0.10564","0.09229","0.09748","0.10274","0.08025","0.14173","0.18573","0.12703","0.07081","0.13439","Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Aeromicrobium"
"Aeromonas","0.00326","0.00087","0.0012","0.00081","0.00068","0.00085","0.00065","0.00056","0.00145","0.0013","0.00136","0.00226","0.00042","0.00031","0.00015","0.00034","0","0.00184","0.00416","0.00863","0.00134","0.00085","Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas"
"Aeroppia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","Eukaryota;Arthropoda;Arachnida;Sarcoptiformes;Oppiidae;Aeroppia"
"Aeropyrum","0","0","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Aeropyrum"
"Aetherobacter","0","0","0","0","0","0","0","0","0","0","0.00015","0.00016","0","0","0","8.0E-5","0","0","0","8.0E-5","0.00017","0.00011","Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Aetherobacter"
"Afifella","0","0","8.0E-5","0","8.0E-5","0.00011","0.00016","0","0","0","8.0E-5","8.0E-5","0","0","0","0","0","0","0","0","0","0","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodobiaceae;Afifella"
"Afipia","0.23378","0.50623","0.524","0.82549","0.49345","0.58092","0.33205","0.39835","0.23003","0.50979","0.43126","0.29056","0.03981","0.33411","0.42293","0.07994","0.2358","0.18038","0.10782","0.1452","0.1366","0.10982","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Afipia"
"Agaricicola","0","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Agaricicola"
"Agaricus","0","7.0E-5","0","0","0","0","0","0.00022","0","0","0","8.0E-5","7.0E-5","8.0E-5","0","0","0.04803","0","0","0","4.0E-5","3.0E-5","Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Agaricus"
"Agarilytica","0","0","0","8.0E-5","0","0","0","0","0","9.0E-5","0","8.0E-5","0","0","0","0","0","0","0","8.0E-5","0","0","Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Agarilytica"
"Agarivorans","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Agarivorans"
"Agastache","0.00031","0.00013","0.00016","0","0","0","0","0.00011","0.0001","0.00028","0","0","0","8.0E-5","7.0E-5","0","0","0","0","0","0","0","Eukaryota;Streptophyta;unkn. Streptophyta(p);Lamiales;Lamiaceae;Agastache"
"Ageratina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00035","0","0","0","0","0","Eukaryota;Streptophyta;unkn. Streptophyta(p);Asterales;Asteraceae;Ageratina"
"Aggregatibacter","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.0E-5","Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter"
"Aggregicoccus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Myxococcaceae;Aggregicoccus"
"Agrican357virus","0","0","0","0","0","0","0","0","0","0","0.00023","0","0","0","0","0","0","0","0","0","0","0","Viruses;unkn. Viruses(d);unkn. Viruses(d);Caudovirales;Myoviridae;Agrican357virus"
"Agrilus","0.00047","0","8.0E-5","0.00041","0","0","0","0","0.0001","0.00019","0","0.00016","0","0","0","0","0","0","0","0","0","0","Eukaryota;Arthropoda;Insecta;Coleoptera;Buprestidae;Agrilus"
"Agrobacterium","0.06329","0.57405","0.08523","0.06885","0.08018","0.02998","0.13747","0.02712","0.4496","0.0733","0.0511","0.3004","0.04645","0.0313","0.02408","0.01941","0.02614","0.1268","0.03568","0.06558","0.08666","0.05704","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Agrobacterium"
